itrial,d,method,coverage,width
13,1,split,0.91,3.255402522669066
14,1,naive,0.89,3.272776885733465
14,1,jackknife,0.89,3.2728006780632124
14,1,jackknife+,0.89,3.2728113757300847
14,1,jackknife-mm,0.89,3.2739632247374626
14,1,CV+,0.89,3.2713630710316015
14,1,split,0.9,3.2882500364475375
15,1,naive,0.93,3.3249012727073692
15,1,jackknife,0.93,3.325501921801674
15,1,jackknife+,0.93,3.3254306921824526
15,1,jackknife-mm,0.93,3.326723027222782
15,1,CV+,0.93,3.3275430791371394
15,1,split,0.93,3.284697692511196
16,1,naive,0.88,3.3240113721758906
16,1,jackknife,0.88,3.3240805804563047
16,1,jackknife+,0.88,3.324128344196069
16,1,jackknife-mm,0.88,3.3251520171937425
16,1,CV+,0.88,3.3239942649567644
16,1,split,0.88,3.3507919599587783
17,1,naive,0.88,3.2408326415229443
17,1,jackknife,0.88,3.242113513578978
17,1,jackknife+,0.88,3.241965581979291
17,1,jackknife-mm,0.88,3.2432573150351094
17,1,CV+,0.88,3.2439187668338776
17,1,split,0.88,3.270687387394572
18,1,naive,0.9,3.313902357110698
18,1,jackknife,0.9,3.313984643446659
18,1,jackknife+,0.9,3.314071580670219
18,1,jackknife-mm,0.9,3.3152643403088797
18,1,CV+,0.9,3.3141312692852933
18,1,split,0.91,3.3444972406870024
19,1,naive,0.91,3.34818714732389
19,1,jackknife,0.91,3.348237544951055
19,1,jackknife+,0.91,3.3482374947578672
19,1,jackknife-mm,0.91,3.349755892667448
19,1,CV+,0.91,3.3518197591317347
19,1,split,0.91,3.3763413407317056
20,1,naive,0.9,3.2798628747604166
20,1,jackknife,0.9,3.2798662140604358
20,1,jackknife+,0.9,3.2798662140604358
20,1,jackknife-mm,0.9,3.281137523388444
20,1,CV+,0.9,3.2804212038992318
20,1,split,0.91,3.3024976459117585
21,1,naive,0.91,3.2690424143642214
21,1,jackknife,0.91,3.269448571072826
21,1,jackknife+,0.91,3.269673914377429
21,1,jackknife-mm,0.91,3.2707398275407917
21,1,CV+,0.91,3.272788250193427
21,1,split,0.91,3.26170970195333
22,1,naive,0.93,3.2892540503329983
22,1,jackknife,0.93,3.2894400962499186
22,1,jackknife+,0.93,3.289427524457719
22,1,jackknife-mm,0.93,3.2908774396954903
22,1,CV+,0.93,3.289379424209266
22,1,split,0.93,3.2824571556982662
23,1,naive,0.87,3.3000816031088425
23,1,jackknife,0.87,3.3001120028791213
23,1,jackknife+,0.87,3.300114649574266
23,1,jackknife-mm,0.87,3.30116813290949
23,1,CV+,0.87,3.2986228870644236
23,1,split,0.87,3.2894474752302325
24,1,naive,0.89,3.3214561098359026
24,1,jackknife,0.89,3.3220331501284046
24,1,jackknife+,0.89,3.3217944248941813
24,1,jackknife-mm,0.89,3.32345526613099
24,1,CV+,0.89,3.3215604957865428
24,1,split,0.89,3.340297468226375
25,1,naive,0.94,3.29722518148205
25,1,jackknife,0.94,3.2972921695494715
25,1,jackknife+,0.94,3.2972324036458205
25,1,jackknife-mm,0.94,3.2982705538401977
25,1,CV+,0.94,3.299434508931954
25,1,split,0.94,3.302689262731495
26,1,naive,0.94,3.285595928304159
26,1,jackknife,0.94,3.2856266215823497
26,1,jackknife+,0.94,3.2856266215823497
26,1,jackknife-mm,0.94,3.2872412340728596
26,1,CV+,0.94,3.2850215560653853
26,1,split,0.94,3.3055144908724357
27,1,naive,0.91,3.3264127565577786
27,1,jackknife,0.91,3.326601699161251
27,1,jackknife+,0.91,3.326681508608591
27,1,jackknife-mm,0.91,3.3278094241386493
27,1,CV+,0.91,3.3250942780009582
27,1,split,0.9,3.305895234831944
28,1,naive,0.86,3.3371112224437187
28,1,jackknife,0.86,3.337553364488938
28,1,jackknife+,0.86,3.3375533644889366
28,1,jackknife-mm,0.86,3.338705892551272
28,1,CV+,0.86,3.3383478336638235
28,1,split,0.86,3.321425938781559
29,1,naive,0.9,3.280746249216209
29,1,jackknife,0.9,3.280939599026888
29,1,jackknife+,0.9,3.2811837436725915
29,1,jackknife-mm,0.9,3.282247546083945
29,1,CV+,0.9,3.2830476341994608
29,1,split,0.91,3.3234208730902957
30,1,naive,0.94,3.3235667218632807
30,1,jackknife,0.94,3.3237215333783023
30,1,jackknife+,0.94,3.323720565642869
30,1,jackknife-mm,0.94,3.32483571236344
30,1,CV+,0.94,3.3220894184985896
30,1,split,0.93,3.276906936586712
31,1,naive,0.85,3.2977269651540633
31,1,jackknife,0.85,3.2978546017821913
31,1,jackknife+,0.85,3.297727945317775
31,1,jackknife-mm,0.85,3.2991779303254822
31,1,CV+,0.85,3.3006776886267772
31,1,split,0.86,3.3568499891410513
32,1,naive,0.89,3.295965878157243
32,1,jackknife,0.89,3.2964966279927173
32,1,jackknife+,0.89,3.296412998631579
32,1,jackknife-mm,0.89,3.298023905067459
32,1,CV+,0.89,3.2978743859354154
32,1,split,0.89,3.3299063050971323
33,1,naive,0.86,3.2969979732580885
33,1,jackknife,0.86,3.297020615803265
33,1,jackknife+,0.86,3.297020615803265
33,1,jackknife-mm,0.86,3.298718262248575
33,1,CV+,0.86,3.294001281006482
33,1,split,0.86,3.30745735361344
34,1,naive,0.86,3.2561310882733814
34,1,jackknife,0.86,3.257064213052114
34,1,jackknife+,0.86,3.2570469799966686
34,1,jackknife-mm,0.86,3.2580415528794298
34,1,CV+,0.86,3.2542733983880123
34,1,split,0.86,3.2360495275986407
35,1,naive,0.88,3.2869362251205554
35,1,jackknife,0.88,3.2870005941000477
35,1,jackknife+,0.88,3.2870005941000477
35,1,jackknife-mm,0.88,3.288468755141214
35,1,CV+,0.88,3.2839221085236634
35,1,split,0.88,3.29131303675386
36,1,naive,0.88,3.2830002232206277
36,1,jackknife,0.88,3.2830454398222684
36,1,jackknife+,0.88,3.2832011322320382
36,1,jackknife-mm,0.88,3.284250556180136
36,1,CV+,0.88,3.2824655732517156
36,1,split,0.88,3.3052837029601765
37,1,naive,0.88,3.2951541072016837
37,1,jackknife,0.88,3.2964756814102936
37,1,jackknife+,0.88,3.296446826738464
37,1,jackknife-mm,0.88,3.29790941514616
37,1,CV+,0.88,3.296641665989643
37,1,split,0.88,3.269095022434436
38,1,naive,0.89,3.31253106919064
38,1,jackknife,0.89,3.313046416479551
38,1,jackknife+,0.89,3.313042606876536
38,1,jackknife-mm,0.89,3.3143732305305735
38,1,CV+,0.89,3.312930246912148
38,1,split,0.89,3.3053239158520697
39,1,naive,0.9,3.2672600146270967
39,1,jackknife,0.9,3.2675074292021526
39,1,jackknife+,0.9,3.267550451439823
39,1,jackknife-mm,0.9,3.2687981283132235
39,1,CV+,0.9,3.268774794602329
39,1,split,0.92,3.30919362585823
40,1,naive,0.92,3.276524613289119
40,1,jackknife,0.92,3.276637381658568
40,1,jackknife+,0.92,3.2766373816585674
40,1,jackknife-mm,0.92,3.277820043627029
40,1,CV+,0.92,3.275290404541317
40,1,split,0.92,3.29221705310365
41,1,naive,0.93,3.2925634297885424
41,1,jackknife,0.93,3.2929666490792524
41,1,jackknife+,0.93,3.293285261848731
41,1,jackknife-mm,0.93,3.2942106362682706
41,1,CV+,0.93,3.2947936144355907
41,1,split,0.93,3.284686441935022
42,1,naive,0.92,3.3121533542796304
42,1,jackknife,0.92,3.3121588667964783
42,1,jackknife+,0.92,3.3121589268484604
42,1,jackknife-mm,0.92,3.3133338893008637
42,1,CV+,0.92,3.3140385940677346
42,1,split,0.92,3.3166066752791994
43,1,naive,0.9,3.2790031622506786
43,1,jackknife,0.9,3.279167524127055
43,1,jackknife+,0.9,3.2793159154412233
43,1,jackknife-mm,0.9,3.2802359695572676
43,1,CV+,0.9,3.2799710673604214
43,1,split,0.9,3.2966061700161755
44,1,naive,0.91,3.2725932820808623
44,1,jackknife,0.91,3.272709792402029
44,1,jackknife+,0.91,3.2727047721957696
44,1,jackknife-mm,0.91,3.2739863368287443
44,1,CV+,0.91,3.2704152304875644
44,1,split,0.91,3.272359849850511
45,1,naive,0.84,3.3307576931188727
45,1,jackknife,0.84,3.332155704393699
45,1,jackknife+,0.84,3.332157609949785
45,1,jackknife-mm,0.84,3.333367046331381
45,1,CV+,0.84,3.331504336969285
45,1,split,0.84,3.3053380826851377
46,1,naive,0.86,3.287341414322484
46,1,jackknife,0.86,3.287614577030805
46,1,jackknife+,0.86,3.287614577030805
46,1,jackknife-mm,0.86,3.2889571610744897
46,1,CV+,0.86,3.287886056752585
46,1,split,0.86,3.280528148430892
47,1,naive,0.9,3.2673860197204103
47,1,jackknife,0.9,3.2673873392039967
47,1,jackknife+,0.9,3.2673873392039967
47,1,jackknife-mm,0.9,3.2688302905544875
47,1,CV+,0.9,3.2686821093250216
47,1,split,0.9,3.273216847894219
48,1,naive,0.95,3.2963247709310464
48,1,jackknife,0.95,3.2964636325288232
48,1,jackknife+,0.95,3.2964636325288232
48,1,jackknife-mm,0.95,3.297604509140842
48,1,CV+,0.95,3.2957360608477653
48,1,split,0.95,3.31743972898082
49,1,naive,0.88,3.312668238731038
49,1,jackknife,0.88,3.312790571129767
49,1,jackknife+,0.88,3.3127868946880237
49,1,jackknife-mm,0.88,3.3141337938876747
49,1,CV+,0.88,3.30922271329931
49,1,split,0.88,3.3147296773525694
