itrial,d,method,coverage,width
16,1,naive,0.91,3.34392766260501
16,1,jackknife,0.91,3.344598445257316
16,1,jackknife+,0.91,3.344054750699858
16,1,jackknife-mm,0.91,3.354518849632365
16,1,CV+,0.91,3.3255889418662274
16,1,split,0.92,3.2775582540701236
17,1,naive,0.92,3.27426754454008
17,1,jackknife,0.92,3.2803077213891574
17,1,jackknife+,0.92,3.27873045335923
17,1,jackknife-mm,0.92,3.2894986565327815
17,1,CV+,0.92,3.2765550068723552
17,1,split,0.93,3.3576124873257953
18,1,naive,0.83,3.142170767804046
18,1,jackknife,0.83,3.144746700139963
18,1,jackknife+,0.83,3.1446852436411143
18,1,jackknife-mm,0.83,3.1556074734636628
18,1,CV+,0.83,3.144738485176353
18,1,split,0.83,3.0712087327948403
19,1,naive,0.88,3.4238002501555296
19,1,jackknife,0.88,3.425165591772293
19,1,jackknife+,0.88,3.425100051576307
19,1,jackknife-mm,0.88,3.435209161852151
19,1,CV+,0.88,3.4333653692685244
19,1,split,0.88,3.4237869448680205
20,1,naive,0.94,3.3091622899853417
20,1,jackknife,0.94,3.309386458296294
20,1,jackknife+,0.94,3.3099550708980905
20,1,jackknife-mm,0.94,3.3186812114976236
20,1,CV+,0.94,3.2990559208373624
20,1,split,0.97,3.377122634797451
21,1,naive,0.86,3.2818757022860923
21,1,jackknife,0.86,3.283282616012489
21,1,jackknife+,0.86,3.2832251724492534
21,1,jackknife-mm,0.86,3.293001219266398
21,1,CV+,0.86,3.286567865922381
21,1,split,0.86,3.226911575131072
22,1,naive,0.93,3.163598255160931
22,1,jackknife,0.93,3.1642628892849043
22,1,jackknife+,0.93,3.165262925706919
22,1,jackknife-mm,0.93,3.1737548265666233
22,1,CV+,0.93,3.1691662957804057
22,1,split,0.93,3.1561863251420537
23,1,naive,0.89,3.3320365211959637
23,1,jackknife,0.89,3.332940949244817
23,1,jackknife+,0.89,3.3327688925512162
23,1,jackknife-mm,0.9,3.342033792154181
23,1,CV+,0.89,3.3197087976734427
23,1,split,0.89,3.305499768627268
24,1,naive,0.88,3.2966690675760906
24,1,jackknife,0.88,3.2974584353311194
24,1,jackknife+,0.88,3.296899736682182
24,1,jackknife-mm,0.88,3.3062181216761166
24,1,CV+,0.89,3.3191596442656692
24,1,split,0.88,3.1903676277127397
25,1,naive,0.83,3.3285802281953285
25,1,jackknife,0.83,3.329284666093535
25,1,jackknife+,0.83,3.3303909496046655
25,1,jackknife-mm,0.83,3.3406643474444397
25,1,CV+,0.83,3.338933413726701
25,1,split,0.83,3.411352936774897
26,1,naive,0.93,3.2906957977996503
26,1,jackknife,0.93,3.291091367736405
26,1,jackknife+,0.93,3.291091367736405
26,1,jackknife-mm,0.93,3.2997960003095765
26,1,CV+,0.93,3.294707305042511
26,1,split,0.94,3.410636496040689
27,1,naive,0.95,3.240986408070799
27,1,jackknife,0.95,3.2421868375012544
27,1,jackknife+,0.95,3.242189684107791
27,1,jackknife-mm,0.95,3.253009666595355
27,1,CV+,0.95,3.2422467055098405
27,1,split,0.94,3.2768528314924095
28,1,naive,0.91,3.3782148577895135
28,1,jackknife,0.91,3.384051855603977
28,1,jackknife+,0.91,3.384072367157197
28,1,jackknife-mm,0.91,3.3920088415788836
28,1,CV+,0.91,3.404510964170392
28,1,split,0.9,3.272677252543194
29,1,naive,0.89,3.2620221403260348
29,1,jackknife,0.89,3.262389864271224
29,1,jackknife+,0.89,3.262118011451745
29,1,jackknife-mm,0.89,3.2745108477392626
29,1,CV+,0.89,3.258452202342159
29,1,split,0.89,3.343592629905445
30,1,naive,0.96,3.460544852676079
30,1,jackknife,0.96,3.460578092961515
30,1,jackknife+,0.96,3.4603775210692347
30,1,jackknife-mm,0.96,3.4735632617073664
30,1,CV+,0.96,3.463018458906301
30,1,split,0.96,3.4117372291154164
31,1,naive,0.84,3.4138084950004792
31,1,jackknife,0.84,3.4248775608814355
31,1,jackknife+,0.84,3.420583950029345
31,1,jackknife-mm,0.84,3.434749086331944
31,1,CV+,0.84,3.394439748063188
31,1,split,0.88,3.519606299445727
32,1,naive,0.92,3.2336687909363104
32,1,jackknife,0.92,3.236650305530178
32,1,jackknife+,0.92,3.2356870538144253
32,1,jackknife-mm,0.92,3.2456595837549322
32,1,CV+,0.92,3.2180608965345616
32,1,split,0.91,3.229083821234296
33,1,naive,0.89,3.4129692637574385
33,1,jackknife,0.89,3.413516352825411
33,1,jackknife+,0.89,3.4134611755103434
33,1,jackknife-mm,0.89,3.4234461585470775
33,1,CV+,0.88,3.403455716302006
33,1,split,0.85,3.255109788899142
34,1,naive,0.9,3.3864133231564755
34,1,jackknife,0.9,3.3870738936073224
34,1,jackknife+,0.9,3.3870430013233435
34,1,jackknife-mm,0.91,3.394835641540194
34,1,CV+,0.9,3.3903706256485564
34,1,split,0.92,3.4649207769796453
35,1,naive,0.86,3.2781281522623478
35,1,jackknife,0.86,3.280770731811087
35,1,jackknife+,0.86,3.2807707318110864
35,1,jackknife-mm,0.86,3.290370252421983
35,1,CV+,0.85,3.2733252084224063
35,1,split,0.88,3.3828241014711513
36,1,naive,0.88,3.1960037758937743
36,1,jackknife,0.88,3.202155757118575
36,1,jackknife+,0.88,3.202525471198911
36,1,jackknife-mm,0.88,3.211143981662305
36,1,CV+,0.89,3.2350559879444267
36,1,split,0.89,3.249392829663001
37,1,naive,0.9,3.321477358376751
37,1,jackknife,0.9,3.3262941024932924
37,1,jackknife+,0.9,3.3259384368489617
37,1,jackknife-mm,0.9,3.3354267964752564
37,1,CV+,0.9,3.3228361636576897
37,1,split,0.9,3.264342178638076
38,1,naive,0.91,3.2737001467142877
38,1,jackknife,0.91,3.280254439893938
38,1,jackknife+,0.91,3.2783172594373426
38,1,jackknife-mm,0.92,3.288761552287357
38,1,CV+,0.91,3.2734707853493403
38,1,split,0.91,3.247844058046249
39,1,naive,0.86,3.2161805751576096
39,1,jackknife,0.86,3.216543138151971
39,1,jackknife+,0.86,3.2165431381519705
39,1,jackknife-mm,0.86,3.223281201051141
39,1,CV+,0.86,3.2181330723971833
39,1,split,0.83,3.0763610352834756
40,1,naive,0.9,3.17475080364374
40,1,jackknife,0.9,3.1747516917703797
40,1,jackknife+,0.9,3.1748805419444652
40,1,jackknife-mm,0.9,3.1851985819486415
40,1,CV+,0.9,3.182622265172404
40,1,split,0.9,3.157059975261269
41,1,naive,0.95,3.451202744364998
41,1,jackknife,0.96,3.462779381622954
41,1,jackknife+,0.95,3.460827280799503
41,1,jackknife-mm,0.96,3.4732478124788515
41,1,CV+,0.95,3.4568342786738175
41,1,split,0.96,3.4623921343110236
42,1,naive,0.9,3.280299144076781
42,1,jackknife,0.9,3.2844670628485675
42,1,jackknife+,0.9,3.284461507339549
42,1,jackknife-mm,0.9,3.292720531073366
42,1,CV+,0.9,3.2668142661415502
42,1,split,0.91,3.4439655560694797
43,1,naive,0.92,3.151395806898201
43,1,jackknife,0.92,3.1530698961080383
43,1,jackknife+,0.92,3.15279977081893
43,1,jackknife-mm,0.93,3.1610856191729817
43,1,CV+,0.92,3.152674733319447
43,1,split,0.92,3.110699908209995
44,1,naive,0.88,3.2102091752396142
44,1,jackknife,0.88,3.2146564344579667
44,1,jackknife+,0.88,3.2134456989970026
44,1,jackknife-mm,0.88,3.2236599587945416
44,1,CV+,0.88,3.2092556455195105
44,1,split,0.87,3.150460817857803
45,1,naive,0.94,3.3690949234544223
45,1,jackknife,0.94,3.3691926966302437
45,1,jackknife+,0.94,3.370892771323562
45,1,jackknife-mm,0.94,3.3769186269339575
45,1,CV+,0.94,3.3717545665416133
45,1,split,0.94,3.419799623326096
46,1,naive,0.9,3.280207674149092
46,1,jackknife,0.9,3.280536934632078
46,1,jackknife+,0.9,3.2805369346320776
46,1,jackknife-mm,0.9,3.288449303271093
46,1,CV+,0.9,3.2843237548927577
46,1,split,0.88,3.128668152500304
47,1,naive,0.87,3.3959149732385057
47,1,jackknife,0.87,3.3969610197602766
47,1,jackknife+,0.87,3.4013163854094146
47,1,jackknife-mm,0.87,3.4057344657018818
47,1,CV+,0.87,3.40234064108998
47,1,split,0.89,3.4779000452826097
48,1,naive,0.93,3.279781965967288
48,1,jackknife,0.93,3.2797851839725083
48,1,jackknife+,0.93,3.2797851839725083
48,1,jackknife-mm,0.93,3.2877654732002615
48,1,CV+,0.93,3.2787255488920355
48,1,split,0.94,3.4192152294732274
49,1,naive,0.87,3.3606076324309107
49,1,jackknife,0.87,3.365896872598105
49,1,jackknife+,0.87,3.3651390618212433
49,1,jackknife-mm,0.88,3.3749065827664926
49,1,CV+,0.87,3.351673419859425
49,1,split,0.9,3.457420136474976
=======
0,5,naive,0.86,3.2205381778176787
0,5,jackknife,0.86,3.2254053700276377
0,5,jackknife+,0.86,3.2252222612981982
0,5,jackknife-mm,0.86,3.2486222237212377
0,5,CV+,0.86,3.1940186698127935
0,5,split,0.87,3.146303702781665
1,5,naive,0.91,3.4580507190002914
1,5,jackknife,0.91,3.468910384884112
1,5,jackknife+,0.91,3.468919276637759
1,5,jackknife-mm,0.91,3.493180338693593
1,5,CV+,0.91,3.4752288861549987
1,5,split,0.89,3.500714282991753
2,5,naive,0.9,3.128238845922914
2,5,jackknife,0.9,3.1357961042332305
2,5,jackknife+,0.9,3.135638362010817
2,5,jackknife-mm,0.92,3.1576945041159714
2,5,CV+,0.9,3.1399055911791205
2,5,split,0.91,3.124685108351338
3,5,naive,0.91,3.354437617789659
3,5,jackknife,0.91,3.37176952510095
3,5,jackknife+,0.91,3.3672515021398
3,5,jackknife-mm,0.91,3.3936215679692907
3,5,CV+,0.91,3.356081294675687
3,5,split,0.9,3.258791162746779
4,5,naive,0.88,3.321821397677034
4,5,jackknife,0.89,3.3761033169495653
4,5,jackknife+,0.89,3.3691543489138343
4,5,jackknife-mm,0.89,3.401125648486541
4,5,CV+,0.88,3.327665762381392
4,5,split,0.89,3.4487541897087057
5,5,naive,0.96,3.313349112890025
5,5,jackknife,0.96,3.323734386075439
5,5,jackknife+,0.96,3.3230889365513874
5,5,jackknife-mm,0.96,3.349341275998338
5,5,CV+,0.96,3.3177875748612564
5,5,split,0.95,3.3966987024956388
6,5,naive,0.88,3.2671648216945623
6,5,jackknife,0.88,3.2903838467937594
6,5,jackknife+,0.88,3.2861105383683746
6,5,jackknife-mm,0.88,3.3143192688741214
6,5,CV+,0.88,3.2745469409478902
6,5,split,0.86,3.0369169401196263
7,5,naive,0.91,3.2142688867390707
7,5,jackknife,0.91,3.2402369126158987
7,5,jackknife+,0.91,3.237328876337676
7,5,jackknife-mm,0.91,3.267656778474935
7,5,CV+,0.91,3.2539411116130577
7,5,split,0.93,3.4327228800137486
8,5,naive,0.89,3.1801330036244635
8,5,jackknife,0.89,3.203836508475394
8,5,jackknife+,0.89,3.1985846879127986
8,5,jackknife-mm,0.89,3.2274497045236017
8,5,CV+,0.89,3.171664075790323
8,5,split,0.88,3.158082885620899
9,5,naive,0.88,3.329424541362813
9,5,jackknife,0.88,3.343850201825871
9,5,jackknife+,0.88,3.3467572797634957
9,5,jackknife-mm,0.88,3.3706149825582283
9,5,CV+,0.88,3.3706059894943587
9,5,split,0.88,3.414569167829865
10,5,naive,0.92,3.2727535650443933
10,5,jackknife,0.92,3.2911822969715505
10,5,jackknife+,0.92,3.2935213581755347
10,5,jackknife-mm,0.93,3.3158129703593358
10,5,CV+,0.92,3.2812860602945015
10,5,split,0.92,3.3438781944511016
11,5,naive,0.91,3.4940791120502785
11,5,jackknife,0.91,3.501822397394088
11,5,jackknife+,0.91,3.504809726556382
11,5,jackknife-mm,0.91,3.527149414674578
11,5,CV+,0.9,3.4943411208177237
11,5,split,0.91,3.7461891930378397
12,5,naive,0.82,3.3033875414550966
12,5,jackknife,0.82,3.3162484142313304
12,5,jackknife+,0.83,3.3147207304448547
12,5,jackknife-mm,0.83,3.3407163191188114
12,5,CV+,0.83,3.3483450491292337
12,5,split,0.82,3.3850470355864464
13,5,naive,0.92,3.421045720205902
13,5,jackknife,0.92,3.4317456198477516
13,5,jackknife+,0.92,3.431671246555922
13,5,jackknife-mm,0.93,3.45793073267353
13,5,CV+,0.92,3.4315161848659774
13,5,split,0.92,3.3516655884947473
14,5,naive,0.89,3.2764321368714486
14,5,jackknife,0.89,3.2856510801790715
14,5,jackknife+,0.89,3.286543220949333
14,5,jackknife-mm,0.89,3.3073885214691443
14,5,CV+,0.89,3.296464484559594
14,5,split,0.9,3.4575216492844247
15,5,naive,0.84,3.3501189883729903
15,5,jackknife,0.84,3.3664486223984817
15,5,jackknife+,0.84,3.3665454323220336
15,5,jackknife-mm,0.84,3.3896353873347387
15,5,CV+,0.84,3.400423762464218
15,5,split,0.85,3.421966502470583
16,5,naive,0.86,3.0982052008895447
16,5,jackknife,0.86,3.127719551445578
16,5,jackknife+,0.86,3.1288258327199205
16,5,jackknife-mm,0.87,3.1550865322976818
16,5,CV+,0.86,3.1189228476559214
16,5,split,0.89,3.361872612332894
17,5,naive,0.88,3.34587744351463
17,5,jackknife,0.88,3.3666455128807065
17,5,jackknife+,0.88,3.367621196893477
17,5,jackknife-mm,0.88,3.3920186195338067
17,5,CV+,0.88,3.3747098874200914
17,5,split,0.89,3.469373982969893
18,5,naive,0.93,3.292395384821095
18,5,jackknife,0.93,3.312029391211772
18,5,jackknife+,0.93,3.3122303144695153
18,5,jackknife-mm,0.93,3.3369589839934237
18,5,CV+,0.93,3.322587223108366
18,5,split,0.94,3.3377997072380117
19,5,naive,0.92,3.2749055367721174
19,5,jackknife,0.92,3.292477067468235
19,5,jackknife+,0.92,3.2923100315199023
19,5,jackknife-mm,0.92,3.3172986142809275
19,5,CV+,0.92,3.298267878958384
19,5,split,0.92,3.3845902912679144
20,5,naive,0.88,3.2004825461833075
20,5,jackknife,0.88,3.208363260655403
20,5,jackknife+,0.88,3.208363260655403
20,5,jackknife-mm,0.88,3.230809399494534
20,5,CV+,0.88,3.2170726423039686
20,5,split,0.87,3.0464838018439533
21,5,naive,0.91,3.4097293473517065
21,5,jackknife,0.91,3.422075141089925
21,5,jackknife+,0.92,3.420214638453408
21,5,jackknife-mm,0.92,3.4444338357443995
21,5,CV+,0.92,3.4263749471429388
21,5,split,0.9,3.2805892834438692
22,5,naive,0.85,3.3416184380807907
22,5,jackknife,0.86,3.367564681319375
22,5,jackknife+,0.86,3.36800973195003
22,5,jackknife-mm,0.86,3.3958994282118526
22,5,CV+,0.86,3.4038031205950317
22,5,split,0.86,3.5174249706930545
23,5,naive,0.91,3.2089776284842118
23,5,jackknife,0.91,3.225952026606043
23,5,jackknife+,0.91,3.228759522104241
23,5,jackknife-mm,0.92,3.2531751229571735
23,5,CV+,0.91,3.2103346114494684
23,5,split,0.91,3.2071426531864518
24,5,naive,0.94,3.4150312660526043
24,5,jackknife,0.95,3.43987003489889
24,5,jackknife+,0.95,3.435405594376567
24,5,jackknife-mm,0.95,3.4644175460737507
24,5,CV+,0.94,3.4105946061895054
24,5,split,0.94,3.3147596254700424
25,5,naive,0.89,3.121550352812848
25,5,jackknife,0.89,3.1466472098355034
25,5,jackknife+,0.89,3.1460386563162657
25,5,jackknife-mm,0.89,3.1697150784755492
25,5,CV+,0.89,3.1342172394826004
25,5,split,0.89,3.093800649235713
26,5,naive,0.91,3.2825732387996345
26,5,jackknife,0.92,3.300727054227532
26,5,jackknife+,0.92,3.299850650026548
26,5,jackknife-mm,0.92,3.323726731803546
26,5,CV+,0.91,3.285344438258487
26,5,split,0.91,3.2887111481737765
27,5,naive,0.87,3.2334468377359995
27,5,jackknife,0.87,3.256954848927518
27,5,jackknife+,0.87,3.254601202443725
27,5,jackknife-mm,0.87,3.2799119686418656
27,5,CV+,0.87,3.257183958286311
27,5,split,0.85,3.246916148284051
28,5,naive,0.88,3.0795468153698953
28,5,jackknife,0.88,3.08438889990449
28,5,jackknife+,0.88,3.0846975602401567
28,5,jackknife-mm,0.88,3.108150776483643
28,5,CV+,0.88,3.0827349361693646
28,5,split,0.86,2.993948086726909
29,5,naive,0.88,3.218539034191691
29,5,jackknife,0.88,3.2356426544719175
29,5,jackknife+,0.88,3.2333439785464693
29,5,jackknife-mm,0.88,3.258060463238024
29,5,CV+,0.88,3.235031907133907
29,5,split,0.87,3.1927760130302723
30,5,naive,0.86,3.205815597122712
30,5,jackknife,0.86,3.2167540095134877
30,5,jackknife+,0.86,3.2159853815525894
30,5,jackknife-mm,0.86,3.2381333274105004
30,5,CV+,0.86,3.229971985978024
30,5,split,0.85,3.089577130951651
31,5,naive,0.93,3.3770216167827307
31,5,jackknife,0.93,3.396365212442524
31,5,jackknife+,0.93,3.396075233494214
31,5,jackknife-mm,0.93,3.4213113937582698
31,5,CV+,0.93,3.4204969972311505
31,5,split,0.93,3.4119897570843905
32,5,naive,0.88,3.292984879403609
32,5,jackknife,0.88,3.3052907465954022
32,5,jackknife+,0.88,3.3042872815920314
32,5,jackknife-mm,0.88,3.3293956711600385
32,5,CV+,0.88,3.2970503771885613
32,5,split,0.89,3.2825503546726873
33,5,naive,0.87,3.2535529218615182
33,5,jackknife,0.87,3.269857957339974
33,5,jackknife+,0.87,3.2716083680151966
33,5,jackknife-mm,0.88,3.2953743422037722
33,5,CV+,0.87,3.276222368757932
33,5,split,0.87,3.384352140323113
34,5,naive,0.96,3.319082860153168
34,5,jackknife,0.96,3.323661515710719
34,5,jackknife+,0.96,3.326473980578233
34,5,jackknife-mm,0.96,3.3467500134274974
34,5,CV+,0.96,3.321035917996446
34,5,split,0.93,3.1570651592261747
35,5,naive,0.89,3.3265113689935806
35,5,jackknife,0.89,3.3352573031507196
35,5,jackknife+,0.89,3.3356842708739283
35,5,jackknife-mm,0.89,3.3607586171761756
35,5,CV+,0.89,3.3416519768890947
35,5,split,0.89,3.319929335733247
36,5,naive,0.86,3.2220150277738115
36,5,jackknife,0.86,3.2383063128107157
36,5,jackknife+,0.86,3.2378359871174585
36,5,jackknife-mm,0.86,3.2634157924919833
36,5,CV+,0.86,3.2632330954305253
36,5,split,0.86,3.1589020840901116
37,5,naive,0.85,2.9857935238535434
37,5,jackknife,0.85,3.0083245643195315
37,5,jackknife+,0.85,3.0084674626563874
37,5,jackknife-mm,0.85,3.03204736624389
37,5,CV+,0.85,3.006757856073627
37,5,split,0.84,2.9479488675211263
38,5,naive,0.91,3.4237882441734473
38,5,jackknife,0.91,3.44746817997183
38,5,jackknife+,0.91,3.4464442572979537
38,5,jackknife-mm,0.91,3.471178281634764
38,5,CV+,0.91,3.4273595499042533
38,5,split,0.91,3.547568304759915
39,5,naive,0.93,3.456659326989909
39,5,jackknife,0.94,3.4723941968163117
39,5,jackknife+,0.94,3.4688364201943487
39,5,jackknife-mm,0.94,3.498547132385036
39,5,CV+,0.93,3.440181680441325
39,5,split,0.92,3.30902577585234
40,5,naive,0.93,3.2717717016460814
40,5,jackknife,0.93,3.289885630677985
40,5,jackknife+,0.93,3.2898598977540146
40,5,jackknife-mm,0.93,3.3146864386679846
40,5,CV+,0.93,3.277421445772244
40,5,split,0.92,3.3907775958707034
41,5,naive,0.88,3.3272254167425954
41,5,jackknife,0.88,3.343752006276378
41,5,jackknife+,0.88,3.3452693496706383
41,5,jackknife-mm,0.89,3.372846694964927
41,5,CV+,0.88,3.3543802347706175
41,5,split,0.88,3.428072282755653
42,5,naive,0.88,3.2736410755548673
42,5,jackknife,0.88,3.284353983663703
42,5,jackknife+,0.88,3.2843877299005957
42,5,jackknife-mm,0.88,3.306989480029447
42,5,CV+,0.88,3.2929262997465685
42,5,split,0.87,3.2387429492734814
43,5,naive,0.83,3.1494881627338263
43,5,jackknife,0.84,3.164840417788946
43,5,jackknife+,0.84,3.164509857253448
43,5,jackknife-mm,0.85,3.1883335912437367
43,5,CV+,0.85,3.191041864185541
43,5,split,0.86,3.300464061291982
44,5,naive,0.93,3.3433187421848682
44,5,jackknife,0.93,3.3556610368926068
44,5,jackknife+,0.93,3.35823921001104
44,5,jackknife-mm,0.94,3.379012976853464
44,5,CV+,0.93,3.3717490488828674
44,5,split,0.94,3.405212718470692
45,5,naive,0.92,3.3400940866344677
45,5,jackknife,0.92,3.355873356479116
45,5,jackknife+,0.92,3.3556881606465847
45,5,jackknife-mm,0.92,3.3811145027618363
45,5,CV+,0.92,3.359415057136782
45,5,split,0.93,3.4237525731490615
46,5,naive,0.92,3.2414805164495473
46,5,jackknife,0.92,3.2583659508758287
46,5,jackknife+,0.92,3.260795437630829
46,5,jackknife-mm,0.92,3.284712426049917
46,5,CV+,0.92,3.2607503920854928
46,5,split,0.93,3.293963323513543
47,5,naive,0.96,3.26179180586175
47,5,jackknife,0.96,3.2721424605564033
47,5,jackknife+,0.96,3.2751253948345034
47,5,jackknife-mm,0.96,3.295117162928957
47,5,CV+,0.96,3.271325434515175
47,5,split,0.92,3.1177110992404113
48,5,naive,0.91,3.3169762882150224
48,5,jackknife,0.91,3.332503594233396
48,5,jackknife+,0.91,3.3353809607757934
48,5,jackknife-mm,0.91,3.357906130209644
48,5,CV+,0.91,3.3531575878540063
48,5,split,0.94,3.6221584727269334
49,5,naive,0.9,3.303928821441387
49,5,jackknife,0.91,3.3272459864940074
49,5,jackknife+,0.91,3.3292017339626954
49,5,jackknife-mm,0.91,3.3528487841116608
49,5,CV+,0.91,3.321361096783196
49,5,split,0.9,3.22173616802462
0,10,naive,0.91,3.30647447644592
0,10,jackknife,0.92,3.345845082942595
0,10,jackknife+,0.92,3.34182728343817
0,10,jackknife-mm,0.93,3.3805380098397495
0,10,CV+,0.91,3.29781234168178
0,10,split,0.92,3.4010718556922375
1,10,naive,0.84,3.0681252515213884
1,10,jackknife,0.85,3.100457595207085
1,10,jackknife+,0.85,3.105934483594546
1,10,jackknife-mm,0.87,3.137178684815251
1,10,CV+,0.86,3.1363783091511555
1,10,split,0.89,3.271982649302113
2,10,naive,0.92,3.112110727828485
2,10,jackknife,0.92,3.1578655415399335
2,10,jackknife+,0.92,3.159125218152698
2,10,jackknife-mm,0.92,3.1931029043163206
2,10,CV+,0.92,3.161786427801313
2,10,split,0.91,3.2033859287604183
3,10,naive,0.86,3.3009601922678318
3,10,jackknife,0.87,3.333203859591095
3,10,jackknife+,0.87,3.333322168400555
3,10,jackknife-mm,0.87,3.372051823295128
3,10,CV+,0.87,3.3412864530329354
3,10,split,0.87,3.3271326694229297
4,10,naive,0.89,3.20443359892596
4,10,jackknife,0.89,3.247695560582275
4,10,jackknife+,0.89,3.2477393790884306
4,10,jackknife-mm,0.89,3.281609987293005
4,10,CV+,0.89,3.2573969212522744
4,10,split,0.89,3.5350596301269457
5,10,naive,0.82,3.254942245243719
5,10,jackknife,0.84,3.290932747803589
5,10,jackknife+,0.84,3.285828642675245
5,10,jackknife-mm,0.84,3.327070833148024
5,10,CV+,0.82,3.2535452620817273
5,10,split,0.83,3.280306298182722
6,10,naive,0.92,3.1798651903985116
6,10,jackknife,0.92,3.2080220250708917
6,10,jackknife+,0.92,3.211723305035506
6,10,jackknife-mm,0.92,3.242518256105875
6,10,CV+,0.92,3.2099993640653888
6,10,split,0.93,3.325182156271162
7,10,naive,0.9,3.1609466925990897
7,10,jackknife,0.92,3.1982899868122785
7,10,jackknife+,0.92,3.199303148061978
7,10,jackknife-mm,0.92,3.2319412611979392
7,10,CV+,0.92,3.2207716205887214
7,10,split,0.92,3.1693117529524453
8,10,naive,0.91,3.194755364520444
8,10,jackknife,0.91,3.2387566756638466
8,10,jackknife+,0.91,3.2360417440793436
8,10,jackknife-mm,0.91,3.2739419025019476
8,10,CV+,0.91,3.2372936801639103
8,10,split,0.89,3.136269798631967
9,10,naive,0.92,3.382195835812104
9,10,jackknife,0.92,3.4350937897918197
9,10,jackknife+,0.92,3.4281355131397295
